firm_id,year,income,digital_finance,firm_size,employee_num,founder_edu,financing_difficulty,region_gdp,urban,high_tech
4,2016,11.62,0.552,1.86,49,2,0.374,4.69,1,0
4,2017,13.16,0.236,1.92,191,4,0.752,9.92,1,1
4,2018,15.57,0.549,2.98,84,2,0.49,9.52,1,1
4,2019,12.99,0.442,2.7,17,2,0.299,8.76,1,0
4,2020,15.7,0.398,3.03,87,3,0.603,11.51,1,0
4,2021,12.33,0.592,2.66,16,2,0.334,11.43,1,0
4,2022,18.11,0.655,2.57,168,4,0.486,10.87,1,1
4,2023,13.03,0.64,1.64,14,1,0.655,12.08,1,0
5,2010,11.73,0.374,2.36,20,1,0.59,7.96,1,0
5,2011,11.6,0.454,2.49,96,3,0.374,9.09,0,0
5,2012,13.74,0.55,3.48,23,3,0.462,10.15,0,1
5,2013,15.38,0.646,2.84,108,2,0.333,8.76,1,1
5,2014,15.6,0.428,3.27,138,3,0.769,11.45,1,0
5,2015,13.27,0.472,2.8,136,3,0.695,8.96,0,0
5,2016,14.19,0.334,2.14,162,4,0.752,12.6,1,0
5,2017,10.61,0.321,2.56,107,1,0.621,8.14,0,0
5,2018,15.21,0.622,2.62,99,4,0.446,14.26,0,0
5,2019,16.6,0.703,2.03,178,3,0.323,14.06,0,0
5,2020,14.06,0.489,2.31,31,2,0.535,9.81,1,0
5,2021,15.56,0.651,2.4,177,1,0.194,12.29,0,1
5,2022,13.83,0.554,3.3,41,3,0.552,9.2,1,0
5,2023,13.06,0.403,1.46,141,2,0.608,12.03,0,1
6,2010,13.36,0.554,3.1,65,2,0.436,9.65,0,0
6,2011,13.85,0.731,2.03,39,2,0.209,7.43,1,0
6,2012,13.7,0.495,1.81,110,3,0.426,2.93,1,0
6,2013,15.18,0.735,3.09,51,3,0.297,9.46,1,1
6,2014,13.31,0.107,2.87,153,1,0.718,10.56,0,0
6,2015,16.23,0.623,3.13,149,3,0.456,12.66,0,0
6,2016,15.76,0.513,2.9,59,3,0.382,10.07,1,1
6,2017,18.04,0.455,3.53,92,1,0.339,12.01,0,1
6,2018,15.16,0.514,2.78,99,4,0.668,9.09,1,1
6,2019,9.07,0.202,2.42,10,3,0.712,9.33,1,0
6,2020,13.43,0.467,2.67,125,4,0.461,12.11,1,0
6,2021,14.05,0.554,3.12,167,2,0.56,5.07,1,1
6,2022,12.7,0.722,2.11,54,4,0.464,10.03,1,0
6,2023,12.99,0.422,2.17,169,3,0.424,9.2,0,0
7,2010,12.87,0.379,2.35,17,3,0.526,12.72,1,0
7,2011,9.12,0.425,1.45,29,3,0.487,8.94,1,0
7,2012,12.82,0.637,2.57,127,1,0.456,11.03,0,0
7,2013,11.02,0.549,1.56,133,4,0.615,11.84,1,0
7,2014,10.69,0.421,2.53,53,3,0.471,7.01,1,0
7,2015,15.67,0.577,2.93,126,1,0.564,9.72,1,0
7,2016,13.17,0.515,2.26,39,1,0.415,9.14,0,1
7,2017,15.15,0.645,3.34,87,1,0.388,11.89,1,0
7,2018,10.44,0.395,1.77,57,3,0.478,11.35,1,0
7,2019,15.31,0.451,3.1,184,3,0.537,9.53,1,1
7,2020,14.82,0.441,2.84,186,3,0.548,7.91,1,0
7,2021,11.83,0.28,1.64,80,2,0.688,12.08,0,0
7,2022,16.42,0.544,3.86,108,3,0.494,9.86,0,1
7,2023,12.37,0.539,2.47,51,3,0.36,6.76,1,0
8,2010,10.05,0.501,2.06,47,1,0.411,6.94,1,0
8,2011,13.14,0.465,1.8,152,2,0.579,10.88,0,1
8,2012,12.7,0.288,2.39,165,1,0.847,7.45,1,0
8,2013,13.75,0.437,2.44,97,4,0.561,13.72,1,0
8,2014,16.21,0.449,2.55,148,3,0.602,8.13,1,1
8,2015,13.8,0.38,2.35,82,4,0.696,10.0,1,0
8,2016,13.89,0.476,2.82,11,2,0.607,10.32,1,1
8,2017,12.49,0.561,2.31,74,4,0.344,8.54,0,0
8,2018,15.28,0.783,1.53,153,3,0.139,5.52,1,0
8,2019,14.27,0.526,2.43,40,3,0.405,10.38,1,0
8,2020,11.48,0.539,1.32,108,2,0.654,8.49,1,0
8,2021,13.69,0.489,2.68,58,3,0.562,10.23,1,0
8,2022,12.07,0.212,2.01,151,4,0.834,9.76,1,0
8,2023,14.41,0.496,2.58,29,2,0.541,10.53,1,1
9,2010,15.82,0.509,3.16,71,2,0.359,13.12,1,1
9,2011,13.9,0.869,2.03,113,3,0.324,8.91,1,0
9,2012,13.44,0.471,3.03,185,4,0.577,9.06,1,0
9,2013,12.75,0.545,2.28,52,3,0.527,6.67,1,0
9,2014,17.08,0.495,3.38,174,2,0.329,9.61,1,1
9,2015,14.26,0.325,2.32,179,3,0.753,10.82,1,0
9,2016,13.13,0.671,2.08,95,2,0.293,9.03,0,1
9,2017,18.71,0.613,2.84,174,4,0.255,10.83,1,1
9,2018,13.96,0.619,2.28,6,3,0.286,9.64,0,0
9,2019,10.71,0.364,2.08,138,3,0.51,7.4,1,0
9,2020,14.69,0.71,2.26,131,2,0.161,10.62,1,0
9,2021,12.83,0.29,2.48,50,4,0.716,9.59,1,1
9,2022,14.39,0.588,3.17,198,3,0.373,10.25,0,0
9,2023,14.58,0.829,1.53,110,4,0.205,8.87,1,1
10,2010,13.49,0.351,2.51,44,3,0.816,8.69,1,1
10,2011,12.56,0.415,2.81,62,4,0.572,10.31,0,0
10,2012,12.39,0.515,2.6,82,4,0.261,9.54,1,0
10,2013,15.08,0.424,3.15,37,2,0.551,13.45,0,0
10,2014,11.14,0.267,2.46,66,4,0.852,11.6,0,0
10,2015,12.48,0.51,2.41,16,1,0.481,11.09,1,0
10,2016,14.97,0.341,2.8,130,3,0.812,9.65,1,0
10,2017,14.0,0.571,2.55,53,4,0.474,5.95,1,1
10,2018,12.96,0.362,2.3,92,2,0.454,8.38,1,1
10,2019,13.02,0.732,2.76,82,3,0.278,8.71,0,0
10,2020,12.5,0.383,2.17,9,3,0.647,9.45,1,0
10,2021,14.04,0.452,2.19,183,3,0.656,9.93,0,0
10,2022,12.72,0.622,2.24,73,4,0.56,11.31,0,0
10,2023,12.71,0.315,3.18,115,3,0.775,10.55,1,0
11,2010,13.14,0.534,0.89,164,4,0.51,12.32,1,0
11,2011,16.11,0.696,2.7,181,2,0.372,9.38,1,0
11,2012,11.53,0.259,2.52,64,2,0.724,10.51,0,0
11,2013,12.72,0.528,1.66,50,3,0.326,10.69,1,1
11,2014,15.07,0.539,2.65,173,3,0.465,10.49,1,0
11,2015,17.54,0.617,2.74,199,2,0.419,12.56,0,1
11,2016,12.17,0.314,2.79,17,3,0.565,11.61,0,0
11,2017,10.1,0.302,1.17,112,2,0.831,7.36,1,0
11,2018,15.42,0.578,3.18,116,3,0.522,9.77,1,0
11,2019,14.37,0.545,2.13,104,1,0.318,9.97,0,0
11,2020,15.05,0.538,2.84,150,3,0.599,14.3,0,0
11,2021,13.46,0.552,2.87,117,3,0.417,9.34,1,0
11,2022,12.09,0.398,2.06,101,4,0.524,8.04,1,0
11,2023,16.4,0.535,2.83,55,3,0.573,10.88,0,1
12,2010,12.45,0.544,2.31,122,3,0.451,10.99,1,0
12,2011,8.32,0.393,1.46,40,4,0.797,9.85,1,0
12,2012,15.31,0.78,3.08,85,3,0.135,9.56,0,0
12,2013,14.13,0.571,2.11,107,2,0.256,11.9,1,0
12,2014,10.43,0.321,2.07,38,4,0.651,8.29,0,0
12,2015,13.77,0.598,2.3,144,3,0.48,9.32,1,0
12,2016,15.17,0.354,2.64,137,3,0.553,8.96,0,1
12,2017,14.7,0.618,2.47,52,3,0.249,12.19,1,0
12,2018,16.06,0.674,2.77,108,4,0.349,10.57,1,0
12,2019,9.26,0.377,1.83,95,4,0.477,7.87,1,0
12,2020,13.03,0.645,2.13,128,4,0.386,8.07,1,0
12,2021,13.29,0.562,2.44,44,2,0.404,13.75,0,0
12,2022,14.51,0.623,3.45,145,3,0.426,12.17,1,0
12,2023,14.77,0.785,2.44,30,2,0.077,11.68,0,0
13,2010,14.49,0.463,3.04,146,2,0.667,10.02,1,0
13,2011,13.19,0.387,2.52,100,4,0.595,13.02,0,0
13,2012,12.21,0.367,2.26,143,2,0.71,7.79,1,0
13,2013,13.52,0.378,2.38,170,3,0.718,11.51,0,0
13,2014,13.88,0.488,2.42,84,3,0.396,9.11,0,0
13,2015,15.59,0.551,2.8,61,3,0.537,9.5,1,1
13,2016,16.08,0.542,3.19,154,2,0.316,11.45,0,0
13,2017,17.29,0.624,2.68,115,2,0.239,9.71,1,0
13,2018,13.27,0.502,3.09,148,3,0.694,9.13,0,0
13,2019,11.54,0.718,2.02,80,2,0.393,9.01,0,0
13,2020,12.14,0.46,2.29,33,4,0.747,6.03,1,0
13,2021,18.69,0.908,2.14,134,4,0.055,11.53,0,1
13,2022,13.56,0.594,2.66,186,3,0.416,7.99,0,0
13,2023,13.79,0.371,2.32,6,4,0.681,13.72,0,0
14,2010,11.36,0.339,2.86,7,2,0.659,9.42,0,0
14,2011,16.51,0.572,2.03,188,3,0.353,12.62,0,1
14,2012,12.61,0.466,2.52,76,2,0.444,6.38,0,0
14,2013,13.22,0.607,2.84,15,3,0.414,11.46,0,0
14,2014,15.85,0.571,1.47,164,3,0.322,11.98,1,0
14,2015,18.03,0.489,3.56,8,2,0.401,12.61,0,1
14,2016,11.3,0.373,2.36,141,2,0.666,6.94,1,0
14,2017,10.81,0.273,1.49,92,3,0.718,8.59,1,0
14,2018,14.28,0.433,2.58,117,3,0.661,11.15,0,0
14,2019,13.09,0.628,2.52,188,1,0.329,10.3,0,0
14,2020,12.87,0.532,2.46,20,3,0.41,10.59,0,0
14,2021,12.71,0.313,3.0,90,3,0.729,9.28,1,1
14,2022,15.34,0.526,2.87,14,3,0.393,13.1,1,0
14,2023,16.73,0.558,2.65,168,3,0.376,15.22,1,0
15,2010,12.52,0.367,2.73,28,2,0.571,10.21,1,0
15,2011,12.91,0.523,2.45,68,3,0.456,10.91,0,1
15,2012,13.81,0.509,3.39,60,4,0.669,10.11,1,0
15,2013,13.28,0.329,1.76,93,3,0.534,12.57,1,0
15,2014,13.58,0.554,2.57,26,3,0.576,11.66,1,0
15,2015,16.66,0.584,2.53,184,3,0.49,7.87,1,1
15,2016,14.66,0.662,2.91,54,2,0.494,8.77,0,0
15,2017,13.27,0.658,2.08,51,3,0.656,7.98,1,0
15,2018,11.47,0.293,1.63,27,4,0.85,15.39,1,0
15,2019,13.53,0.359,2.58,87,1,0.733,11.27,1,0
15,2020,12.52,0.577,2.64,23,4,0.291,8.81,1,0
15,2021,14.66,0.577,3.24,184,2,0.304,8.65,1,0
15,2022,16.64,0.577,1.86,166,3,0.459,11.61,1,1
15,2023,15.8,1.0,3.08,33,4,0.0,11.81,1,0
16,2010,15.37,0.586,3.68,65,4,0.476,11.6,0,1
16,2011,14.49,0.67,2.31,89,4,0.116,9.15,1,0
16,2012,12.57,0.643,1.85,39,4,0.472,10.61,1,0
16,2013,14.17,0.598,2.3,9,3,0.37,10.22,1,1
16,2014,15.04,0.453,2.51,80,3,0.56,8.13,1,0
16,2015,12.45,0.614,2.78,11,2,0.311,8.15,1,0
16,2016,15.78,0.384,2.2,173,2,0.426,10.82,1,1
16,2017,15.74,0.464,3.28,134,3,0.659,10.39,0,1
16,2018,14.04,0.427,1.94,142,3,0.706,11.11,1,0
16,2019,12.33,0.512,1.63,106,3,0.453,11.58,1,0
16,2020,16.34,0.847,3.05,48,4,0.219,13.0,1,0
16,2021,10.81,0.22,1.36,74,3,0.741,8.45,0,1
16,2022,12.95,0.603,2.4,95,1,0.426,11.26,1,0
16,2023,14.04,0.258,4.06,167,3,0.818,11.5,1,0
17,2010,13.93,0.429,2.49,66,3,0.626,9.38,1,1
17,2011,13.61,0.663,1.94,24,3,0.471,10.24,0,0
17,2012,13.3,0.51,2.47,167,4,0.542,9.43,0,0
17,2013,14.64,0.338,2.47,169,3,0.664,14.22,1,0
17,2014,14.46,0.393,2.58,76,4,0.531,10.21,1,0
17,2015,14.71,0.602,2.83,124,3,0.35,10.9,0,0
17,2016,13.74,0.39,1.98,186,3,0.691,9.47,1,0
17,2017,17.85,0.532,3.34,99,3,0.317,9.04,1,0
17,2018,13.9,0.507,2.62,131,1,0.604,7.4,1,1
17,2019,15.72,0.402,2.86,117,1,0.57,12.2,1,1
17,2020,17.22,0.822,2.19,111,1,0.097,11.54,1,1
17,2021,16.06,0.595,3.14,84,3,0.295,9.4,0,0
17,2022,11.27,0.196,2.37,32,2,0.871,8.2,0,1
17,2023,15.58,0.528,2.64,164,4,0.471,10.36,1,0
18,2010,13.92,0.401,2.03,143,3,0.758,9.0,1,1
18,2011,15.63,0.628,2.0,174,3,0.246,9.56,1,1
18,2012,13.86,0.381,2.84,155,2,0.561,7.47,0,1
18,2013,12.21,0.483,2.28,34,2,0.508,10.43,1,0
18,2014,15.98,0.576,2.07,13,2,0.349,10.47,1,0
18,2015,12.66,0.63,2.18,63,3,0.371,12.19,1,0
18,2016,12.37,0.32,2.85,160,3,0.712,9.7,1,0
18,2017,12.31,0.45,2.19,83,3,0.599,9.33,0,0
18,2018,11.84,0.429,2.44,107,3,0.722,6.89,0,0
18,2019,16.0,0.402,2.51,118,3,0.468,12.2,1,1
18,2020,15.08,0.765,1.54,165,1,0.269,11.79,1,1
18,2021,11.58,0.561,1.76,51,3,0.375,10.06,1,0
18,2022,11.91,0.311,2.67,102,3,0.732,7.34,1,0
18,2023,14.02,0.638,2.13,154,3,0.405,7.57,0,0
19,2010,15.6,0.818,3.03,161,2,0.083,8.91,1,0
19,2011,16.82,0.655,2.98,166,3,0.255,11.93,1,0
19,2012,11.67,0.272,2.86,46,2,0.779,10.58,0,0
19,2013,14.37,0.427,3.41,184,4,0.575,7.01,1,1
19,2014,13.15,0.69,2.46,51,3,0.288,10.81,1,0
19,2015,13.76,0.394,2.82,78,4,0.672,8.32,1,0
19,2016,11.63,0.567,2.21,55,3,0.507,8.96,0,0
19,2017,18.87,0.616,3.73,177,2,0.331,11.94,1,0
19,2018,15.11,0.361,3.49,98,3,0.554,11.53,1,0
19,2019,12.99,0.491,2.51,124,1,0.383,12.19,0,0
19,2020,11.86,0.014,2.69,79,4,0.99,9.95,1,0
19,2021,14.17,0.346,3.18,166,4,0.511,11.77,0,0
19,2022,13.23,0.462,2.43,153,3,0.548,8.83,1,0
19,2023,13.33,0.313,2.17,127,3,0.809,9.48,1,0
20,2010,14.67,0.745,2.94,145,3,0.22,9.35,1,0
20,2011,12.77,0.285,2.54,186,4,0.661,10.05,0,0
20,2012,11.37,0.434,2.59,157,2,0.766,7.43,0,0
20,2013,11.86,0.52,2.08,126,3,0.631,9.55,1,0
20,2014,14.54,0.716,1.64,25,3,0.207,12.9,1,1
20,2015,10.36,0.285,2.62,5,4,0.729,7.81,1,0
20,2016,14.56,0.674,2.95,190,4,0.358,7.34,0,0
20,2017,12.67,0.502,2.39,73,4,0.519,7.5,0,0
20,2018,14.47,0.353,3.22,90,3,0.829,15.32,1,0
20,2019,12.11,0.569,2.15,75,2,0.439,10.93,1,0
20,2020,12.21,0.53,1.97,17,3,0.494,9.46,0,0
20,2021,12.74,0.41,2.47,184,3,0.659,10.14,0,0
20,2022,14.24,0.51,2.46,27,3,0.609,10.46,0,0
20,2023,13.09,0.442,2.88,153,1,0.651,8.72,0,0
21,2010,11.3,0.517,2.11,10,3,0.537,8.97,0,0
21,2011,13.71,0.599,3.18,152,2,0.245,9.68,1,0
21,2012,14.72,0.738,3.48,80,4,0.213,8.55,1,0
21,2013,11.53,0.314,2.48,172,2,0.768,9.21,0,1
21,2014,15.87,0.82,3.12,13,3,0.205,10.71,1,0
21,2015,12.67,0.207,1.97,182,2,0.875,8.01,1,1
21,2016,16.78,0.477,3.04,32,2,0.711,15.22,1,1
21,2017,16.9,0.588,3.02,143,4,0.294,11.51,1,0
21,2018,14.78,0.542,2.93,120,2,0.572,7.46,1,0
21,2019,12.83,0.407,2.49,100,1,0.56,5.04,1,1
21,2020,10.65,0.469,1.02,79,1,0.625,8.62,1,0
21,2021,13.82,0.426,2.18,92,3,0.57,11.37,1,0
21,2022,11.01,0.412,2.19,60,3,0.801,10.98,0,0
21,2023,12.71,0.627,2.01,109,2,0.386,9.78,1,0
22,2010,14.81,0.554,2.56,39,3,0.382,8.8,1,0
22,2011,10.47,0.396,2.29,29,1,0.646,8.19,0,1
22,2012,14.17,0.635,2.09,117,4,0.397,9.19,1,0
22,2013,13.92,0.546,1.97,103,4,0.568,7.98,1,1
22,2014,12.38,0.622,2.14,151,4,0.423,9.2,0,0
22,2015,14.05,0.594,3.06,35,4,0.653,12.66,1,0
22,2016,11.69,0.376,2.17,85,2,0.613,8.46,1,0
22,2017,13.09,0.416,2.24,54,2,0.574,11.22,1,0
22,2018,15.51,0.612,2.27,91,3,0.328,11.53,0,1
22,2019,14.72,0.592,2.67,195,2,0.417,7.84,1,0
22,2020,13.22,0.497,2.73,51,2,0.526,8.31,1,0
22,2021,12.55,0.518,0.98,5,2,0.511,12.14,0,1
22,2022,15.81,0.692,3.01,129,3,0.315,8.15,1,0
22,2023,16.41,0.411,3.22,190,3,0.528,9.89,0,0
23,2010,16.24,0.582,1.97,142,2,0.33,14.08,1,0
23,2011,13.95,0.47,2.01,140,1,0.493,11.96,1,0
23,2012,13.81,0.467,2.27,110,3,0.647,10.17,1,0
23,2013,14.95,0.665,2.12,129,1,0.471,11.68,1,0
23,2014,15.26,0.624,2.61,158,4,0.368,9.89,1,0
23,2015,13.49,0.622,1.53,166,2,0.284,12.04,1,0
23,2016,12.07,0.696,1.94,23,3,0.296,5.91,1,0
23,2017,11.61,0.503,3.27,76,3,0.706,9.72,0,0
23,2018,13.02,0.602,2.04,133,1,0.498,5.83,0,0
23,2019,15.59,0.453,3.12,180,3,0.602,10.32,1,0
23,2020,13.84,0.549,2.68,157,3,0.548,9.53,0,0
23,2021,12.36,0.48,1.6,28,4,0.674,12.72,0,1
23,2022,17.1,0.515,2.82,179,3,0.37,11.42,0,1
23,2023,15.59,0.589,2.44,88,1,0.372,8.95,1,0
24,2010,13.27,0.377,2.27,124,2,0.57,9.19,1,0
24,2011,17.25,0.814,2.62,73,2,0.245,10.76,1,0
24,2012,14.75,0.349,2.74,199,2,0.667,8.85,1,0
24,2013,13.03,0.318,2.85,164,3,0.758,9.94,1,0
24,2014,17.37,0.674,3.09,149,4,0.276,12.63,1,0
24,2015,14.7,0.619,2.7,193,3,0.518,8.34,0,0
24,2016,12.23,0.594,1.81,110,3,0.399,9.1,1,0
24,2017,12.36,0.594,2.26,73,3,0.475,9.39,0,0
24,2018,17.53,0.498,3.97,15,4,0.621,16.32,1,1
24,2019,14.06,0.365,2.86,170,2,0.746,11.22,0,0
24,2020,16.42,0.511,3.68,151,3,0.525,12.26,1,0
24,2021,14.42,0.398,3.2,107,4,0.684,11.54,0,0
24,2022,15.24,0.646,2.62,149,2,0.528,11.67,0,0
24,2023,14.48,0.478,2.65,17,2,0.573,10.95,1,0
25,2010,12.57,0.376,2.48,5,4,0.551,10.73,0,0
25,2011,9.58,0.452,1.63,6,3,0.607,7.1,1,0
25,2012,16.04,0.562,2.51,113,2,0.434,10.72,0,0
25,2013,14.42,0.415,3.11,198,3,0.35,9.78,0,0
25,2014,13.01,0.377,2.2,148,3,0.67,11.09,1,0
25,2015,13.85,0.537,2.71,8,3,0.475,9.86,1,0
25,2016,18.0,0.537,2.93,61,2,0.579,11.53,0,1
25,2017,13.97,0.424,2.05,117,2,0.501,11.88,1,0
25,2018,10.24,0.429,2.27,27,3,0.42,4.18,1,0
25,2019,12.71,0.535,1.99,128,3,0.482,9.13,1,1
25,2020,8.86,0.283,2.09,121,4,0.755,6.29,0,0
25,2021,12.2,0.289,1.86,134,2,0.721,10.48,1,0
25,2022,13.89,0.392,2.05,199,4,0.61,9.4,1,0
25,2023,14.87,0.468,3.21,91,2,0.425,12.71,0,1
26,2010,14.25,0.547,2.04,158,3,0.439,10.41,1,0
26,2011,13.21,0.721,2.56,129,4,0.244,9.03,0,0
26,2012,13.09,0.629,2.25,115,3,0.479,11.88,0,0
26,2013,13.49,0.476,3.09,11,2,0.562,9.36,0,0
26,2014,13.21,0.497,3.16,48,2,0.475,9.0,1,0
26,2015,15.5,0.35,2.93,165,3,0.823,10.79,1,0
26,2016,15.77,0.497,2.65,117,3,0.476,13.23,1,1
26,2017,16.53,0.457,2.38,196,4,0.599,11.71,0,1
26,2018,17.12,0.548,1.9,168,3,0.435,11.13,0,1
26,2019,13.75,0.376,3.47,8,4,0.787,15.5,0,0
26,2020,15.8,0.578,2.12,122,3,0.431,8.54,1,0
26,2021,13.7,0.73,2.83,27,4,0.282,8.49,0,0
26,2022,14.02,0.484,3.03,157,1,0.502,10.29,0,0
26,2023,13.65,0.56,2.22,94,4,0.459,13.03,0,0
27,2010,15.0,0.604,3.02,96,2,0.516,8.12,1,1
27,2011,18.1,0.44,2.88,159,4,0.645,13.51,1,1
27,2012,14.71,0.534,3.36,55,1,0.469,7.12,0,0
27,2013,14.49,0.502,2.27,119,3,0.668,9.76,1,0
27,2014,11.34,0.515,1.86,85,3,0.573,10.35,1,0
27,2015,12.11,0.384,2.25,107,4,0.572,8.23,0,0
27,2016,11.62,0.504,2.6,84,3,0.358,8.76,0,0
27,2017,17.49,0.575,2.53,155,2,0.384,11.59,1,1
27,2018,14.91,0.718,2.3,107,3,0.324,12.88,1,0
27,2019,11.28,0.644,1.55,13,2,0.416,5.77,1,0
27,2020,13.92,0.823,2.74,37,2,0.313,10.36,0,0
27,2021,13.64,0.385,3.49,39,2,0.506,9.77,1,1
27,2022,16.03,0.631,2.73,54,2,0.325,10.21,0,1
27,2023,14.63,0.528,2.8,28,3,0.355,9.37,1,0
28,2010,16.01,0.828,2.79,156,4,0.038,7.42,1,0
28,2011,12.89,0.379,2.7,151,4,0.558,13.08,1,0
28,2012,14.12,0.374,2.97,43,1,0.663,12.32,0,0
28,2013,13.57,0.41,2.7,193,1,0.667,9.79,1,0
28,2014,11.63,0.181,2.34,29,2,0.724,9.02,1,0
28,2015,12.63,0.421,2.1,157,2,0.498,8.78,1,0
28,2016,11.5,0.386,2.38,159,1,0.436,4.83,0,0
28,2017,15.33,0.523,2.66,36,2,0.499,10.71,1,1
28,2018,13.99,0.551,2.34,143,3,0.376,11.56,1,0
28,2019,14.6,0.781,2.66,112,3,0.385,10.28,0,0
28,2020,14.54,0.643,2.72,37,3,0.398,9.83,1,0
28,2021,16.73,0.413,2.92,151,2,0.569,10.27,1,0
28,2022,13.69,0.365,3.14,111,3,0.571,8.29,1,0
28,2023,16.37,0.574,2.54,115,4,0.277,9.0,1,1
29,2010,11.03,0.302,1.85,125,2,0.561,9.67,1,0
29,2011,16.3,0.775,2.33,20,1,0.163,11.39,1,0
29,2012,13.98,0.677,2.52,15,2,0.253,12.76,1,0
29,2013,12.67,0.43,1.58,102,2,0.47,9.54,0,1
29,2014,13.52,0.243,3.19,120,3,0.795,7.91,1,0
29,2015,14.88,0.703,2.57,187,2,0.348,10.07,1,0
29,2016,15.62,0.483,2.69,29,3,0.471,14.02,1,0
29,2017,13.55,0.686,3.18,97,2,0.508,8.08,0,0
29,2018,15.14,0.261,2.18,115,3,0.564,11.77,1,1
29,2019,15.59,0.41,2.79,100,1,0.596,12.67,1,0
29,2020,14.74,0.501,2.45,166,3,0.477,9.28,1,0
29,2021,12.71,0.507,2.41,16,2,0.438,8.6,0,0
29,2022,15.1,0.432,2.11,25,1,0.498,11.15,1,0
29,2023,17.11,0.593,3.33,131,4,0.406,10.71,0,1
30,2010,12.07,0.34,2.31,33,3,0.638,11.39,0,0
30,2011,16.16,0.479,2.85,183,1,0.482,14.15,0,0
30,2012,14.32,0.518,1.56,125,3,0.352,10.33,1,0
30,2013,17.24,0.577,3.09,128,3,0.261,7.62,1,0
30,2014,16.75,0.607,3.03,155,3,0.364,10.13,1,1
30,2015,11.66,0.331,2.55,37,3,0.628,10.48,1,0
30,2016,14.79,0.27,2.39,140,4,0.71,12.53,1,0
30,2017,14.29,0.692,2.7,174,2,0.297,9.61,1,0
30,2018,15.64,0.55,3.64,81,2,0.398,9.18,1,0
30,2019,10.84,0.388,1.62,45,2,0.591,7.26,1,0
30,2020,15.17,0.733,2.89,78,3,0.182,11.09,0,0
30,2021,14.48,0.517,2.04,67,4,0.635,16.7,1,0
30,2022,13.37,0.677,2.49,18,4,0.243,9.55,1,1
30,2023,14.03,0.51,2.38,194,3,0.453,10.9,1,0
31,2010,15.52,0.809,2.29,79,4,0.119,8.9,1,0
