Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding ($M),Number of Employees,Annual Revenue ($M),Valuation ($B),Success Score,Acquired?,IPO?,Customer Base (Millions),Tech Stack,Social Media Followers
Startup_141,2022,China,Logistics,IPO,302.0,4200,757.0,24.17,6,No,Yes,21.0,"C++, ML",4439797
Startup_142,2012,Germany,FoodTech,Series C,79.0,330,210.0,38.26,7,Yes,Yes,30.0,"Python, AI",2756869
Startup_143,2003,Germany,Energy,Seed,388.0,241,50.0,39.23,4,No,Yes,96.0,"C++, ML",14506
Startup_144,2021,China,E-commerce,IPO,445.0,2055,394.0,8.99,9,No,Yes,96.0,"Node.js, React",502517
Startup_145,2017,China,FoodTech,Seed,362.0,3684,450.0,33.49,8,No,Yes,16.0,"Java, Spring",1993652
Startup_146,2021,UK,AI,Series A,191.0,1970,77.0,48.17,3,Yes,Yes,37.0,"Java, Spring",4886213
Startup_147,2014,USA,Energy,Series C,472.0,4553,629.0,12.31,6,No,Yes,88.0,"Java, Spring",2989111
Startup_148,2022,Japan,Gaming,Series A,430.0,1969,966.0,13.48,2,No,No,38.0,"C++, ML",4993892
Startup_149,2020,Japan,EdTech,Series A,430.0,1540,904.0,19.06,4,Yes,No,47.0,"Node.js, React",3876927
Startup_150,2004,France,EdTech,Seed,57.0,1254,987.0,48.06,8,Yes,No,43.0,"Node.js, React",2729834
Startup_151,2003,Japan,Logistics,Series C,445.0,4501,613.0,23.86,2,Yes,Yes,23.0,"Java, Spring",1851386
Startup_152,2020,France,Energy,Series A,406.0,2164,527.0,10.12,4,Yes,Yes,12.0,"Java, Spring",2740579
Startup_153,2002,Brazil,Healthcare,Series B,473.0,3409,743.0,16.28,8,Yes,Yes,27.0,"Node.js, React",3089571
Startup_154,2020,India,AI,Series C,350.0,3486,943.0,30.96,6,No,No,73.0,"Node.js, React",3304564
Startup_155,2012,Brazil,E-commerce,Series A,163.0,2202,198.0,27.72,7,Yes,Yes,50.0,"Node.js, React",2624542
Startup_156,2007,Brazil,EdTech,Series A,126.0,44,565.0,28.02,3,No,Yes,49.0,"Python, AI",2370350
Startup_157,2005,Brazil,Tech,Series B,299.0,4027,587.0,16.37,2,No,No,68.0,"C++, ML",194605
Startup_158,2008,Japan,FinTech,Series C,494.0,3383,691.0,43.44,5,Yes,No,88.0,"Java, Spring",470209
Startup_159,2000,Canada,Logistics,IPO,240.0,908,263.0,40.0,7,Yes,No,70.0,"Java, Spring",4410115
Startup_160,2019,USA,Healthcare,Series C,128.0,3354,738.0,2.47,3,No,No,59.0,"PHP, Laravel",546336
Startup_161,2004,France,FinTech,Series B,46.0,2988,73.0,15.77,1,No,Yes,19.0,"C++, ML",602195
Startup_162,2006,Japan,FinTech,Series A,229.0,2598,647.0,49.47,8,No,Yes,41.0,"Node.js, React",3704873
Startup_163,2021,Australia,Tech,Series C,357.0,2815,21.0,4.14,6,No,Yes,49.0,"Node.js, React",1108822
Startup_164,2001,India,Healthcare,Series A,215.0,4592,686.0,14.79,7,No,Yes,12.0,"Java, Spring",3402996
Startup_165,2006,UK,EdTech,Series B,244.0,4436,773.0,31.59,3,No,No,36.0,"C++, ML",1658058
Startup_166,2002,Canada,E-commerce,Series B,140.0,3247,477.0,42.06,1,No,Yes,46.0,"Node.js, React",4628086
Startup_167,2016,Australia,EdTech,Series C,180.0,4978,847.0,17.88,2,No,No,75.0,"C++, ML",1895607
Startup_168,2013,France,Gaming,Series C,372.0,1562,224.0,20.24,6,No,Yes,95.0,"Python, AI",94813
Startup_169,2011,USA,Logistics,Series C,394.0,402,755.0,10.14,2,No,Yes,53.0,"Python, AI",3451715
Startup_170,2007,France,FoodTech,Series C,54.0,1121,32.0,37.74,1,No,No,95.0,"Python, AI",3333244
Startup_171,2022,Canada,Healthcare,Series A,317.0,2579,419.0,46.34,1,Yes,Yes,87.0,"Python, AI",1432138
Startup_172,2004,Brazil,AI,Series B,294.0,4201,694.0,6.06,8,Yes,Yes,38.0,"C++, ML",981890
Startup_173,2016,China,Energy,IPO,347.0,826,829.0,0.2,7,No,Yes,27.0,"Python, AI",1353910
Startup_174,2011,Brazil,Healthcare,IPO,393.0,4833,678.0,36.18,5,Yes,Yes,64.0,"Node.js, React",2930602
Startup_175,2022,Canada,FoodTech,Seed,51.0,4772,87.0,23.23,2,Yes,No,30.0,"PHP, Laravel",2385988
Startup_176,2010,Japan,EdTech,Series C,23.0,3615,906.0,20.88,9,Yes,Yes,38.0,"Python, AI",3831104
Startup_177,2012,UK,Tech,Series B,466.0,1905,230.0,39.98,9,No,Yes,73.0,"Node.js, React",2311063
Startup_178,2022,UK,Healthcare,Series C,237.0,1337,496.0,42.06,7,No,No,34.0,"Python, AI",3103221
Startup_179,2002,Germany,E-commerce,Series C,314.0,1671,452.0,19.61,2,Yes,Yes,87.0,"Java, Spring",470469
Startup_180,2001,Canada,FoodTech,Series C,327.0,3978,652.0,46.79,1,No,Yes,27.0,"PHP, Laravel",3571163
Startup_181,2009,Canada,Energy,Series C,96.0,98,628.0,46.18,9,No,No,63.0,"Node.js, React",4639187
Startup_182,2008,India,Healthcare,Series C,28.0,376,448.0,38.69,8,Yes,Yes,8.0,"Python, AI",3676233
Startup_183,2022,Brazil,Energy,IPO,59.0,4022,489.0,33.49,1,Yes,No,14.0,"PHP, Laravel",27043
Startup_184,2011,Australia,Logistics,Series A,161.0,2672,527.0,16.9,8,No,No,95.0,"PHP, Laravel",1148582
Startup_185,2003,France,FinTech,Series B,393.0,3856,893.0,12.65,6,Yes,Yes,21.0,"PHP, Laravel",3385632
Startup_186,2015,Japan,Gaming,Series C,415.0,853,660.0,13.48,4,Yes,No,6.0,"Java, Spring",4387759
Startup_187,2014,UK,Healthcare,Series B,405.0,2393,786.0,5.43,5,No,Yes,90.0,"C++, ML",2501763
Startup_188,2005,Japan,AI,Seed,364.0,4205,741.0,41.43,7,Yes,No,40.0,"Java, Spring",3349891
Startup_189,2017,Japan,FoodTech,Seed,175.0,3220,232.0,10.84,3,Yes,No,58.0,"Java, Spring",588246
Startup_190,2011,Australia,Gaming,Series A,414.0,243,451.0,15.9,6,Yes,No,96.0,"C++, ML",4904518
Startup_191,2008,Australia,FoodTech,Series A,379.0,3557,433.0,35.38,8,Yes,No,30.0,"C++, ML",4408950
Startup_192,2006,Brazil,AI,Series B,224.0,2336,295.0,9.25,9,Yes,No,74.0,"Node.js, React",2787145
Startup_193,2015,Canada,Gaming,Seed,70.0,72,25.0,29.31,2,Yes,Yes,12.0,"Python, AI",1092921
Startup_194,2014,India,Tech,Series A,287.0,1412,955.0,12.45,8,No,Yes,64.0,"Python, AI",2840093
Startup_195,2006,India,Healthcare,Series B,490.0,980,519.0,30.82,1,Yes,Yes,16.0,"Node.js, React",4231540
Startup_196,2008,Canada,Logistics,Series B,329.0,2991,496.0,15.74,2,Yes,Yes,14.0,"Java, Spring",2164738
Startup_197,2016,Japan,Logistics,Series C,280.0,1001,486.0,45.14,8,Yes,No,67.0,"Java, Spring",4361226
Startup_198,2001,India,Tech,IPO,258.0,2742,431.0,1.64,2,No,No,56.0,"PHP, Laravel",878466
Startup_199,2012,USA,EdTech,Seed,254.0,891,489.0,14.39,1,Yes,Yes,74.0,"C++, ML",4064842
Startup_200,2007,USA,Healthcare,Seed,315.0,2825,364.0,42.72,4,No,No,38.0,"Node.js, React",2601536
Startup_201,2018,Canada,Healthcare,IPO,237.0,4074,357.0,17.4,2,Yes,Yes,43.0,"C++, ML",4775254
Startup_202,2004,Canada,FoodTech,Seed,422.0,4895,639.0,33.24,9,No,Yes,82.0,"Python, AI",4688586
Startup_203,2005,India,AI,IPO,213.0,3424,83.0,4.2,3,No,Yes,78.0,"Node.js, React",4531946
Startup_204,2021,Germany,FoodTech,Series A,40.0,592,266.0,20.47,4,Yes,Yes,68.0,"Java, Spring",1641003
Startup_205,2003,India,AI,Seed,304.0,3420,176.0,32.35,3,No,Yes,24.0,"Java, Spring",3326100
Startup_206,2012,Canada,Tech,Series C,9.0,4765,120.0,27.32,7,No,No,67.0,"Node.js, React",4768652
Startup_207,2004,Japan,Healthcare,Series C,357.0,2529,992.0,44.01,6,No,No,3.0,"PHP, Laravel",552552
Startup_208,2020,UK,Energy,IPO,466.0,4871,486.0,47.69,7,Yes,Yes,5.0,"C++, ML",4926823
Startup_209,2018,UK,E-commerce,Series A,130.0,4142,771.0,32.71,9,No,No,54.0,"Node.js, React",2925577
Startup_210,2019,USA,Healthcare,Seed,221.0,3026,956.0,13.96,4,No,No,64.0,"Python, AI",3105463
Startup_211,2007,USA,FinTech,Series B,411.0,3513,69.0,17.84,7,Yes,No,55.0,"Python, AI",642169
Startup_212,2017,China,Tech,Series B,5.0,306,318.0,15.79,8,Yes,Yes,92.0,"Python, AI",1462023
Startup_213,2006,Brazil,EdTech,Series C,473.0,1537,211.0,2.15,4,Yes,No,97.0,"Python, AI",234694
Startup_214,2007,Canada,Energy,Series B,353.0,4650,321.0,18.06,2,No,Yes,3.0,"PHP, Laravel",804369
Startup_215,2004,Germany,FoodTech,Seed,372.0,1170,766.0,42.38,2,No,Yes,69.0,"Java, Spring",3412966
Startup_216,2017,Brazil,FinTech,Series B,334.0,1739,995.0,17.12,1,Yes,No,66.0,"Java, Spring",1268408
Startup_217,2002,UK,Gaming,Series B,322.0,4526,101.0,38.92,2,No,Yes,79.0,"Node.js, React",3817132
Startup_218,2014,Australia,AI,Series A,220.0,450,878.0,49.72,8,Yes,No,20.0,"Java, Spring",3865055
Startup_219,2011,USA,EdTech,Series C,241.0,2202,574.0,23.95,7,Yes,Yes,39.0,"Java, Spring",1325525
Startup_220,2020,USA,E-commerce,Seed,152.0,113,123.0,30.66,4,No,Yes,14.0,"C++, ML",783339
Startup_221,2001,UK,Logistics,Seed,433.0,1511,403.0,5.55,9,No,Yes,5.0,"Node.js, React",3543060
Startup_222,2002,India,EdTech,Series A,12.0,1730,190.0,16.84,7,No,Yes,84.0,"Java, Spring",804609
Startup_223,2001,China,EdTech,Series B,214.0,1996,42.0,44.05,5,Yes,No,6.0,"C++, ML",3657487
Startup_224,2009,China,EdTech,Series A,55.0,2762,687.0,34.2,2,Yes,No,11.0,"Node.js, React",3677952
Startup_225,2015,Australia,FoodTech,Series A,182.0,354,153.0,45.72,1,Yes,No,53.0,"Node.js, React",3815054
Startup_226,2018,Germany,Gaming,Series A,437.0,1156,132.0,46.79,3,Yes,No,83.0,"Java, Spring",3358956
Startup_227,2009,France,Tech,Seed,198.0,1407,821.0,10.74,9,Yes,Yes,89.0,"C++, ML",2150315
Startup_228,2015,Brazil,Healthcare,Series C,87.0,3108,967.0,43.66,7,No,Yes,61.0,"Node.js, React",947310
Startup_229,2018,India,Energy,Seed,209.0,2323,630.0,18.29,8,Yes,Yes,47.0,"Java, Spring",3992083
Startup_230,2009,Australia,Energy,IPO,456.0,4805,586.0,33.6,7,Yes,No,5.0,"PHP, Laravel",4785202
