Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding ($M),Number of Employees,Annual Revenue ($M),Valuation ($B),Success Score,Acquired?,IPO?,Customer Base (Millions),Tech Stack,Social Media Followers
Startup_5023,2020,Japan,Energy,Series B,3.7961,2,7.5879,19.5733,9,No,No,1.9102,"C++, ML",50000
Startup_5024,2003,UK,Tech,Seed,1.6934,41,2.1574,6.7268,3,No,No,0.2705,"C++, ML",25927
Startup_5025,2019,USA,Logistics,IPO,3.735,7,4.0385,11.0418,6,No,No,0.7574,"PHP, Laravel",21265
Startup_5026,2013,France,EdTech,Seed,0.8023,32,1.6578,2.9071,2,No,No,0.6635,"Java, Spring",35606
Startup_5027,2007,Brazil,EdTech,Series C,0.6951,4,1.0418,1.2384,1,No,No,0.3308,"Python, AI",50000
Startup_5028,2001,Canada,EdTech,Series B,1.7609,20,2.7171,8.0234,4,No,No,0.4959,"Java, Spring",49675
Startup_5029,2018,Canada,E-commerce,Series B,4.0481,50,6.891,23.6942,9,No,No,1.8446,"C++, ML",33391
Startup_5030,2021,Germany,AI,Series B,1.2694,36,3.1631,10.0413,4,No,No,0.261,"Java, Spring",2537
Startup_5031,2009,Canada,EdTech,IPO,0.3631,32,1.4765,3.4192,2,No,No,0.3036,"Python, AI",20575
Startup_5032,2016,Brazil,AI,Series A,0.702,28,1.6663,5.3997,2,No,No,0.4297,"PHP, Laravel",48102
Startup_5033,2013,Germany,E-commerce,Series B,4.3008,13,3.3715,7.6703,5,No,No,1.6372,"Node.js, React",22014
Startup_5034,2018,India,EdTech,IPO,3.1872,1,3.1623,7.5205,4,No,No,0.431,"Java, Spring",12783
Startup_5035,2009,India,Energy,Seed,1.3033,35,2.4037,5.295,3,No,No,1.0902,"Node.js, React",17023
Startup_5036,2005,France,Gaming,Seed,2.7987,48,3.2238,7.1841,5,No,No,1.3898,"C++, ML",47691
Startup_5037,2021,Japan,Gaming,Series A,2.6615,30,6.2604,18.1586,8,Yes,No,1.8879,"PHP, Laravel",33710
Startup_5038,2008,Germany,FinTech,Series C,3.2944,36,3.7907,9.4963,5,No,No,0.4839,"PHP, Laravel",25868
Startup_5039,2020,China,Gaming,IPO,1.2043,25,2.8655,5.2837,4,No,No,0.5658,"Java, Spring",22984
Startup_5040,2009,USA,AI,Series A,4.3288,16,3.3649,5.9971,5,No,No,1.398,"PHP, Laravel",16724
Startup_5041,2012,Brazil,FinTech,IPO,1.5814,19,3.4712,4.7931,5,No,No,0.8578,"Java, Spring",10937
Startup_5042,2011,USA,Gaming,Series C,3.486,1,5.0258,12.4143,7,No,No,1.0573,"Java, Spring",50000
Startup_5043,2008,Germany,AI,IPO,0.1298,5,0.4804,0.8503,1,No,No,0.001,"Node.js, React",49154
Startup_5044,2016,India,EdTech,Seed,1.8947,22,2.4081,3.4757,3,No,No,1.4335,"PHP, Laravel",24873
Startup_5045,2012,Japan,FoodTech,Series B,1.791,24,2.8533,7.7846,4,No,No,0.8257,"Java, Spring",18200
Startup_5046,2009,China,Logistics,Series B,2.7402,43,4.3983,12.4185,6,No,No,1.5878,"Node.js, React",50000
Startup_5047,2015,Japan,E-commerce,Series A,0.41,45,1.3712,4.0119,2,No,No,0.6241,"Python, AI",6667
Startup_5048,2008,Canada,AI,Seed,3.9612,37,6.0521,14.2924,8,Yes,No,3.0085,"Node.js, React",39930
Startup_5049,2000,Canada,Tech,Seed,1.128,36,2.2998,7.5909,3,No,No,0.8216,"Node.js, React",16194
Startup_5050,2005,Brazil,FinTech,Seed,3.4013,36,5.3105,17.6603,7,No,No,1.7053,"Java, Spring",17676
Startup_5051,2009,India,FoodTech,IPO,4.0259,4,2.0217,6.36,3,No,No,1.1051,"C++, ML",35371
Startup_5052,2008,France,AI,Series A,2.8313,36,6.4452,18.0399,9,No,No,3.0716,"C++, ML",50000
Startup_5053,2012,India,Healthcare,Seed,3.7174,18,11.4521,20.6823,10,No,No,1.3897,"C++, ML",50000
Startup_5054,2017,Australia,Healthcare,Seed,3.3262,50,6.2354,22.681,8,No,No,1.0119,"Node.js, React",17556
Startup_5055,2004,Canada,EdTech,Series B,1.8099,16,2.1991,3.9587,3,No,No,1.0757,"Java, Spring",20634
Startup_5056,2019,India,EdTech,Series C,4.0538,41,4.7833,8.9235,7,No,No,2.8094,"PHP, Laravel",35832
Startup_5057,2019,Germany,AI,Series A,1.5088,18,3.2838,7.1848,5,No,No,1.4418,"Node.js, React",13430
Startup_5058,2008,Brazil,Energy,IPO,2.8775,22,5.5088,7.7205,8,No,No,2.1393,"Node.js, React",37087
Startup_5059,2016,Germany,Healthcare,IPO,3.7397,2,5.156,18.1528,7,No,No,2.2008,"Java, Spring",48754
Startup_5060,2016,UK,Healthcare,Series C,1.9258,21,4.2337,10.6462,6,No,No,1.1137,"Python, AI",15644
Startup_5061,2019,UK,Energy,Seed,1.5487,36,1.5169,3.7744,2,No,No,0.6335,"Node.js, React",43183
Startup_5062,2012,Japan,EdTech,IPO,2.3238,44,5.1538,14.7004,7,No,No,0.6924,"Python, AI",0
Startup_5063,2005,Australia,E-commerce,Series A,4.0989,39,7.4351,17.1821,9,Yes,No,4.5131,"Python, AI",47839
Startup_5064,2005,UK,EdTech,Series B,4.6531,47,5.438,6.6996,7,No,No,2.694,"C++, ML",21935
Startup_5065,2019,Japan,Healthcare,Series B,2.7482,39,2.9523,7.3599,4,No,No,1.2887,"Java, Spring",32374
Startup_5066,2009,Canada,Logistics,Seed,3.3243,29,5.9276,17.8063,8,No,No,1.7278,"Python, AI",11657
Startup_5067,2014,Brazil,FinTech,IPO,4.5212,26,10.665,22.5079,10,No,No,1.4503,"Java, Spring",50000
Startup_5068,2017,France,Tech,Series C,0.5378,21,1.3649,4.1789,2,No,No,0.5782,"C++, ML",19217
Startup_5069,2007,Germany,FinTech,Seed,1.1988,17,1.8226,3.0291,3,No,No,0.9326,"Java, Spring",17307
Startup_5070,2000,India,Logistics,Series B,3.5591,16,6.1911,11.3036,8,No,No,2.5562,"Node.js, React",18099
Startup_5071,2004,France,AI,Series B,4.1275,31,10.7086,17.6897,10,No,No,2.8852,"Python, AI",12380
Startup_5072,2008,Brazil,Gaming,Series B,4.2923,9,7.6836,15.6188,9,No,No,3.068,"Java, Spring",28236
Startup_5073,2018,Germany,E-commerce,Seed,2.1048,31,4.4844,13.7881,6,No,No,2.0896,"PHP, Laravel",32425
Startup_5074,2008,Australia,Healthcare,Seed,0.4922,14,1.5012,4.5621,2,No,No,0.1769,"Java, Spring",41697
Startup_5075,2007,China,EdTech,Series A,2.217,49,4.6088,9.2818,6,No,No,1.5224,"Python, AI",45350
Startup_5076,2017,France,Tech,Series C,1.1921,37,2.1182,5.6374,3,Yes,No,1.054,"C++, ML",29783
Startup_5077,2016,France,Tech,Series C,1.4914,2,1.0142,2.9146,1,No,No,0.001,"C++, ML",35107
Startup_5078,2020,Germany,FinTech,IPO,3.8727,48,4.7924,7.8752,7,No,No,1.6396,"Python, AI",22833
Startup_5079,2021,UK,AI,IPO,0.4239,46,1.1837,1.8484,1,No,No,0.2319,"Node.js, React",2213
Startup_5080,2005,Brazil,AI,Series C,4.1465,14,8.0487,27.5483,10,No,No,4.7708,"Node.js, React",16963
Startup_5081,2013,Australia,EdTech,Series B,2.167,33,4.891,11.7701,7,No,No,0.2386,"C++, ML",29908
Startup_5082,2020,China,Energy,Series C,3.0005,35,5.5517,19.0844,8,No,No,1.9061,"C++, ML",44121
Startup_5083,2005,UK,AI,IPO,0.4938,39,1.227,2.5142,1,No,No,0.3614,"Python, AI",38293
Startup_5084,2004,Germany,Logistics,Series A,1.7199,47,4.8917,13.7126,7,No,No,0.9412,"Node.js, React",47770
Startup_5085,2002,Japan,FoodTech,Series B,0.494,20,1.2382,2.1513,1,No,No,0.3901,"C++, ML",46059
Startup_5086,2001,UK,Gaming,Series B,4.8096,2,8.7437,16.1689,10,No,No,1.402,"Node.js, React",25491
Startup_5087,2005,France,FinTech,Seed,4.0459,41,6.9681,16.3271,9,No,No,3.9292,"C++, ML",47133
Startup_5088,2014,China,Energy,IPO,2.3252,19,4.3099,8.6551,6,No,No,2.4295,"Java, Spring",27267
Startup_5089,2003,Australia,Logistics,Series A,1.1568,37,2.8593,4.9503,4,No,No,0.4381,"PHP, Laravel",29187
Startup_5090,2016,USA,E-commerce,Seed,4.6706,18,5.9385,9.8118,8,No,No,2.6278,"Java, Spring",14042
Startup_5091,2019,Brazil,FinTech,Series A,1.7558,16,4.2917,5.3549,6,No,No,1.8677,"C++, ML",36409
Startup_5092,2005,France,FoodTech,Series C,0.8469,4,0.7535,2.3006,1,No,No,0.306,"PHP, Laravel",9308
Startup_5093,2010,France,Gaming,Seed,2.8377,12,3.191,7.4954,5,No,No,0.8267,"PHP, Laravel",22559
Startup_5094,2007,Canada,Tech,Series C,4.7217,29,10.8733,15.3669,10,Yes,Yes,0.3541,"C++, ML",12374
Startup_5095,2020,France,E-commerce,IPO,0.069,7,0.3794,0.5952,1,No,No,0.0482,"C++, ML",50000
Startup_5096,2007,USA,AI,Series B,1.2287,14,3.8657,6.0432,5,No,No,1.516,"Node.js, React",47649
Startup_5097,2011,Canada,EdTech,Series C,4.6953,12,7.6114,19.1432,9,No,No,2.3083,"C++, ML",25397
Startup_5098,2015,USA,Tech,IPO,0.8969,35,2.8954,4.37,4,No,No,1.6236,"Python, AI",32839
Startup_5099,2005,Germany,Tech,IPO,0.6106,5,0.5363,1.5592,1,No,No,0.4267,"C++, ML",2993
Startup_5100,2021,Brazil,Healthcare,Series A,2.8724,17,2.814,3.2986,4,No,No,0.5387,"Python, AI",5474
Startup_5101,2017,Germany,Gaming,IPO,4.3161,42,9.2047,16.1125,10,No,No,3.4318,"C++, ML",50000
Startup_5102,2007,China,Energy,Series B,2.4117,32,2.2869,7.4186,3,No,No,1.3753,"Node.js, React",50000
Startup_5103,2008,UK,EdTech,Series C,4.9731,10,7.3189,20.5137,9,No,No,1.3555,"Python, AI",25396
Startup_5104,2006,USA,Energy,Series A,3.4119,43,7.9046,11.6917,10,Yes,No,1.8537,"Java, Spring",13833
Startup_5105,2000,India,Tech,Seed,0.4167,17,1.265,3.8131,2,Yes,No,0.1668,"Python, AI",42259
Startup_5106,2020,Japan,AI,Series A,4.9645,5,7.6618,17.9898,9,No,No,4.0685,"Node.js, React",24817
Startup_5107,2007,UK,Tech,Series B,2.0691,45,3.4265,10.9695,5,No,No,1.4015,"Python, AI",21963
Startup_5108,2015,France,E-commerce,IPO,1.4726,42,3.1558,8.1883,4,No,No,0.3958,"C++, ML",24408
Startup_5109,2006,Japan,EdTech,Series A,2.8115,9,5.3482,15.218,7,No,No,3.0026,"C++, ML",50000
Startup_5110,2000,Germany,AI,Series B,1.5563,49,2.5797,8.8785,4,No,No,0.8195,"Node.js, React",50000
Startup_5111,2000,Japan,Healthcare,Series B,0.478,33,1.5813,2.8411,2,No,No,0.8232,"PHP, Laravel",30065
Startup_5112,2014,Brazil,FinTech,Seed,0.0571,36,0.9084,2.4531,1,No,No,0.001,"C++, ML",31329
Startup_5113,2007,India,AI,Series B,2.2754,36,3.952,9.3091,6,No,No,0.9659,"Java, Spring",50000
Startup_5114,2004,France,Energy,IPO,4.1925,18,6.9896,7.7037,9,No,No,3.061,"Node.js, React",48178
Startup_5115,2006,China,Energy,IPO,2.883,9,5.3414,6.8593,7,No,No,1.8295,"Python, AI",6106
Startup_5116,2003,Australia,FinTech,Series C,4.9961,29,9.6109,15.0349,10,No,No,3.8312,"Python, AI",9460
Startup_5117,2006,France,FoodTech,Series B,1.4699,50,3.6005,9.5476,5,No,No,1.8454,"Java, Spring",41297
Startup_5118,2021,Brazil,FinTech,IPO,1.4383,14,1.89,4.6298,3,No,No,0.5684,"C++, ML",23999
Startup_5119,2013,Australia,AI,Seed,0.8408,25,1.7263,4.148,2,Yes,No,0.9401,"Node.js, React",8191
Startup_5120,2019,Canada,E-commerce,Seed,0.8621,15,1.5686,1.8354,2,No,No,0.2597,"Java, Spring",7991
Startup_5121,2000,France,Logistics,Seed,1.4617,6,1.7539,4.1147,2,No,No,0.0279,"C++, ML",19872
Startup_5122,2017,Australia,Tech,Seed,3.9746,42,3.1859,11.3254,5,Yes,No,0.4939,"Node.js, React",50000
Startup_5123,2018,UK,AI,IPO,4.5335,29,0.1627,0.3349,1,No,No,0.1522,"Python, AI",31862
Startup_5124,2001,Brazil,FoodTech,Series A,4.8767,15,10.7175,27.7654,10,No,No,2.5851,"Node.js, React",39448
Startup_5125,2003,Japan,Gaming,Series B,1.1998,29,1.607,4.8132,2,No,No,0.7897,"PHP, Laravel",41739
Startup_5126,2004,USA,FinTech,Series A,4.4124,4,10.2266,29.0726,10,No,No,4.2206,"Node.js, React",47212
Startup_5127,2002,Australia,Gaming,Series B,1.6749,18,3.6896,8.5775,5,No,No,1.0628,"PHP, Laravel",8341
Startup_5128,2006,Australia,AI,IPO,0.6086,50,1.5394,4.8763,2,No,No,0.9877,"Node.js, React",5821
Startup_5129,2010,Germany,Tech,Series C,4.3566,49,8.6372,17.3674,10,No,No,0.2936,"PHP, Laravel",44253
Startup_5130,2008,USA,Logistics,Series C,3.1987,44,6.27,21.0906,8,No,No,0.6399,"Python, AI",37956
Startup_5131,2013,USA,E-commerce,Series B,0.8654,39,1.6209,2.6309,2,No,No,0.1802,"C++, ML",10414
Startup_5132,2018,Japan,Energy,Series C,2.1777,16,3.7622,7.2784,5,Yes,No,1.5312,"PHP, Laravel",22839
Startup_5133,2012,Brazil,FinTech,Series C,1.4719,11,1.8662,2.7416,3,No,No,0.9967,"PHP, Laravel",32018
Startup_5134,2022,UK,E-commerce,Series A,3.6971,14,7.2168,22.1413,9,No,No,2.0328,"Python, AI",13407
Startup_5135,2019,India,FoodTech,IPO,2.2944,3,2.7366,5.8713,4,No,No,1.1665,"PHP, Laravel",43062
Startup_5136,2017,UK,EdTech,Series B,4.9469,50,7.9313,13.8925,10,No,No,3.4616,"Java, Spring",50000
Startup_5137,2020,Canada,Energy,Series B,0.321,42,1.2571,2.1233,2,No,No,0.6696,"Python, AI",19663
Startup_5138,2003,China,Gaming,Series B,1.8073,38,3.6188,11.1084,5,Yes,No,0.7573,"Java, Spring",30007
Startup_5139,2001,UK,FoodTech,Series A,2.4354,45,6.4651,19.5251,9,Yes,No,2.5064,"Python, AI",31284
Startup_5140,2011,India,FoodTech,IPO,2.5405,42,4.3027,10.6362,6,No,No,1.453,"PHP, Laravel",36109
Startup_5141,2006,India,AI,Seed,1.6139,18,3.9617,9.9952,6,No,No,2.3165,"Java, Spring",21290
Startup_5142,2013,Japan,Healthcare,Series C,3.6597,20,6.9679,15.6752,9,No,No,1.0943,"PHP, Laravel",41548
Startup_5143,2015,USA,AI,Series A,4.38,48,10.4443,22.4422,10,No,No,3.8129,"Python, AI",13915
Startup_5144,2018,Japan,FinTech,Series A,4.6967,25,6.9378,23.0341,9,No,No,1.5052,"PHP, Laravel",35479
Startup_5145,2013,Japan,Tech,Seed,4.0352,38,8.2553,13.1652,10,No,No,3.0201,"Java, Spring",33948
Startup_5146,2001,Germany,E-commerce,Seed,4.2604,13,6.6998,14.685,9,No,No,0.8972,"Java, Spring",15667
Startup_5147,2015,Canada,Gaming,Series C,2.7752,4,0.1667,0.3381,1,No,No,0.2614,"PHP, Laravel",50000
Startup_5148,2002,USA,Healthcare,Series B,4.1381,14,4.4142,10.0402,6,No,No,1.7812,"Node.js, React",39179
Startup_5149,2006,Germany,E-commerce,Series B,1.5523,33,3.556,7.5367,5,No,No,0.8035,"Python, AI",21973
Startup_5150,2003,Japan,FinTech,Series A,2.0225,28,4.2838,10.0762,6,No,No,0.8262,"Python, AI",43786
Startup_5151,2010,India,Tech,Series B,1.6187,37,2.1755,3.1524,3,No,No,0.3962,"PHP, Laravel",22643
Startup_5152,2008,Japan,EdTech,Seed,2.3636,8,4.0938,9.676,6,Yes,No,0.1311,"Node.js, React",48664
Startup_5153,2007,Brazil,EdTech,Series B,1.4636,44,3.3557,5.5401,5,Yes,No,2.2632,"Java, Spring",49558
Startup_5154,2012,USA,Energy,Series A,4.81,34,7.9136,13.5181,10,No,No,2.8169,"C++, ML",9556
Startup_5155,2010,India,Tech,Series A,1.5986,44,3.7724,4.8138,5,No,No,2.0145,"C++, ML",7701
Startup_5156,2014,Japan,FoodTech,Series B,0.5353,5,1.149,3.3526,1,No,No,0.5466,"PHP, Laravel",9558
Startup_5157,2001,China,AI,Series C,2.6577,5,4.1273,9.0022,6,No,No,2.4182,"Node.js, React",8384
Startup_5158,2017,France,EdTech,IPO,0.3326,31,1.1734,3.2312,1,No,No,0.4905,"Node.js, React",3550
Startup_5159,2005,Japan,Energy,Series C,0.5972,45,1.9946,6.0822,3,No,No,0.8654,"Python, AI",4822
Startup_5160,2006,France,Logistics,Seed,1.136,9,2.2866,6.7344,3,No,No,0.9443,"Java, Spring",23488
Startup_5161,2012,UK,AI,Series A,2.3485,42,2.6986,5.8127,4,Yes,No,1.2868,"Node.js, React",46167
Startup_5162,2012,China,Logistics,IPO,2.1946,32,4.3023,8.8406,6,No,No,1.548,"C++, ML",25353
Startup_5163,2005,China,FoodTech,Seed,4.0085,33,4.4813,9.0001,6,No,No,0.6197,"Java, Spring",30292
Startup_5164,2014,Canada,Logistics,Series A,3.7104,3,3.8916,10.543,5,No,No,0.5697,"Java, Spring",48409
Startup_5165,2005,Germany,FoodTech,IPO,2.1603,30,3.2863,7.7851,5,No,No,1.4655,"PHP, Laravel",31286
Startup_5166,2010,Australia,Healthcare,Series A,1.7018,50,3.3409,10.339,5,No,No,0.8458,"Node.js, React",13703
Startup_5167,2020,UK,Gaming,Series C,1.6165,12,3.1354,9.8629,4,No,No,0.2765,"PHP, Laravel",50000
Startup_5168,2014,Brazil,FoodTech,IPO,3.8813,29,5.7678,8.6088,8,No,No,1.6285,"Node.js, React",34386
Startup_5169,2017,Germany,Gaming,Series B,0.3078,3,0.521,0.6502,1,No,No,0.476,"Python, AI",0
Startup_5170,2004,Canada,Healthcare,Series A,0.1135,26,0.8437,2.1262,1,No,No,0.1942,"PHP, Laravel",34654
Startup_5171,2008,China,Energy,Series B,3.9879,30,8.8205,17.4602,10,No,No,0.9689,"PHP, Laravel",50000
Startup_5172,2009,Germany,Healthcare,Seed,2.4119,9,0.4968,0.6902,1,No,No,0.0485,"C++, ML",27750
Startup_5173,2020,USA,Healthcare,IPO,0.6979,26,1.6411,5.5449,2,No,No,0.6899,"PHP, Laravel",14179
Startup_5174,2004,Japan,E-commerce,IPO,1.2161,2,2.8416,5.1512,4,No,No,0.9719,"Node.js, React",15296
Startup_5175,2015,China,E-commerce,IPO,4.6659,3,8.321,26.9281,10,No,No,1.612,"C++, ML",7373
Startup_5176,2016,Brazil,EdTech,IPO,4.3045,46,9.9653,27.225,10,No,No,5.2313,"PHP, Laravel",18503
Startup_5177,2008,China,Tech,Series B,3.5634,4,1.8727,5.1929,3,No,No,0.5562,"PHP, Laravel",18086
Startup_5178,2008,UK,Energy,Series C,2.437,25,2.8293,4.5412,4,No,No,1.0598,"Python, AI",26540
Startup_5179,2021,India,Gaming,Series C,2.6256,13,5.0487,8.822,7,No,No,2.7399,"PHP, Laravel",4956
Startup_5181,2009,UK,Energy,IPO,4.8306,44,5.2815,8.656,7,No,No,1.3923,"C++, ML",15332
Startup_5182,2014,Brazil,FoodTech,Seed,1.1156,35,2.2446,4.4167,3,No,No,0.001,"Java, Spring",47807
Startup_5183,2004,India,FinTech,Seed,4.065,23,7.569,14.3199,9,No,No,2.0354,"C++, ML",15265
Startup_5184,2017,Australia,Healthcare,Seed,1.0264,9,1.1137,1.5961,1,No,No,0.1423,"Python, AI",41151
Startup_5185,2018,Japan,Gaming,Series A,1.107,2,2.0273,3.6694,3,No,No,0.2776,"PHP, Laravel",14945
Startup_5186,2020,China,Healthcare,Series A,3.3967,41,1.3503,4.0741,2,Yes,No,0.5925,"PHP, Laravel",17284
Startup_5187,2011,Australia,FoodTech,Seed,2.0548,44,4.3799,7.7904,6,No,No,2.6796,"PHP, Laravel",25068
Startup_5188,2020,Canada,Logistics,Seed,4.6611,31,5.4321,6.9242,7,No,No,2.8497,"C++, ML",46684
Startup_5189,2004,Canada,AI,Series C,0.4906,44,1.4181,3.7775,2,No,No,0.6148,"PHP, Laravel",20144
Startup_5190,2015,Japan,E-commerce,Series B,2.5821,47,5.4903,18.3831,7,No,No,1.6193,"Java, Spring",0
Startup_5191,2017,Germany,Gaming,Seed,4.5967,2,8.001,15.3574,10,No,No,0.5049,"PHP, Laravel",43874
Startup_5192,2006,Australia,Logistics,Series C,4.5254,32,7.538,9.9278,9,No,No,1.6169,"Python, AI",41407
Startup_5193,2000,Australia,Energy,Series C,0.8248,18,2.1948,5.2183,3,No,No,0.001,"Java, Spring",17958
Startup_5194,2000,China,Gaming,Seed,1.8649,13,1.6475,5.5336,2,No,No,0.9492,"PHP, Laravel",5984
Startup_5195,2007,UK,Energy,Seed,3.1147,46,5.7724,17.1734,8,No,No,1.1056,"PHP, Laravel",16821
Startup_5196,2016,UK,Tech,Series A,0.839,5,1.1145,2.8861,1,No,No,0.7263,"Node.js, React",37751
Startup_5197,2002,France,Tech,Series C,4.8417,42,10.283,19.0295,10,No,No,4.3576,"C++, ML",50000
Startup_5198,2009,Australia,Gaming,Series C,4.578,44,9.2317,22.2278,10,No,No,1.3125,"Java, Spring",42205
Startup_5199,2010,Australia,FoodTech,IPO,0.8764,10,1.9816,3.0183,3,No,No,0.084,"Node.js, React",31010
Startup_5200,2005,France,AI,Seed,0.6497,43,2.3046,6.3974,3,No,No,1.1967,"Python, AI",2885
Startup_5201,2013,China,FoodTech,Series A,0.4728,25,1.663,4.5727,2,No,No,1.0992,"C++, ML",48994
Startup_5202,2002,Germany,Logistics,Series A,4.5517,34,7.2513,25.5434,9,No,No,3.3267,"Java, Spring",36240
Startup_5203,2008,Brazil,EdTech,IPO,1.0084,37,2.3075,4.549,3,No,No,0.5048,"PHP, Laravel",6901
Startup_5204,2004,Australia,Logistics,Series C,2.1106,30,4.5501,5.8783,6,No,No,1.7544,"Java, Spring",12575
Startup_5205,2009,Canada,Logistics,Series B,2.2718,7,3.8179,9.7128,5,Yes,No,1.1911,"PHP, Laravel",5653
Startup_5206,2015,Germany,Gaming,Series C,3.0151,6,5.8077,17.1194,8,Yes,No,3.4615,"C++, ML",11220
Startup_5207,2010,Germany,FinTech,Series C,0.4051,3,0.2714,0.7741,1,No,No,0.2652,"PHP, Laravel",46359
Startup_5208,2013,China,EdTech,Series B,1.1725,13,3.2969,6.04,5,No,No,1.4135,"Python, AI",8238
Startup_5209,2013,Germany,FinTech,Series A,4.6609,3,7.2491,13.8596,9,No,No,1.9168,"PHP, Laravel",7628
Startup_5210,2005,Brazil,FinTech,Series B,4.5466,26,3.8335,9.3073,5,No,No,1.3773,"Python, AI",36918
Startup_5211,2020,Canada,Gaming,IPO,3.9174,24,4.7583,9.2683,7,No,No,1.4373,"C++, ML",38909
Startup_5212,2005,China,Tech,Series B,0.146,6,0.2856,0.8697,1,No,No,0.1328,"C++, ML",22719
Startup_5213,2001,China,E-commerce,IPO,1.6687,43,2.3889,5.3906,3,No,No,0.5025,"Java, Spring",1442
Startup_5214,2019,Japan,Logistics,Series B,3.1584,49,5.2725,16.2596,7,No,No,2.8996,"Python, AI",44985
Startup_5215,2002,France,Tech,Seed,1.4122,42,3.9858,9.6656,6,No,No,1.3752,"Python, AI",26629
Startup_5216,2006,Japan,FoodTech,IPO,4.5525,12,8.1715,24.2788,10,No,No,0.9992,"Node.js, React",50000
Startup_5217,2001,UK,Tech,IPO,3.1878,49,5.9124,10.9189,8,No,No,3.1231,"Node.js, React",17621
Startup_5218,2022,France,FinTech,IPO,0.4059,36,1.1705,3.5978,1,No,No,0.1839,"Node.js, React",6307
Startup_5219,2017,China,FoodTech,Series B,4.5496,2,5.0269,8.5268,7,No,No,1.0935,"PHP, Laravel",50000
Startup_5220,2009,Australia,EdTech,Series B,4.7909,11,5.7766,13.3454,8,No,No,0.8968,"Node.js, React",37291
Startup_5221,2008,China,Gaming,Series A,0.4347,39,1.2981,2.2408,2,No,No,0.4696,"Python, AI",36717
Startup_5222,2004,Canada,Gaming,IPO,2.6852,34,4.3378,9.6982,6,No,No,1.5142,"PHP, Laravel",8466
Startup_5223,2004,Germany,EdTech,IPO,1.5517,26,2.8154,5.302,4,No,No,0.8446,"C++, ML",1479
Startup_5224,2007,UK,Tech,IPO,1.9946,18,3.2117,5.6208,5,No,No,1.3182,"Java, Spring",15160
Startup_5225,2022,Japan,FinTech,IPO,0.9393,21,1.7132,6.3325,2,Yes,No,0.2419,"Node.js, React",12445
Startup_5226,2000,Japan,Tech,Series C,2.9115,36,5.3559,8.7242,7,No,No,2.628,"C++, ML",21640
Startup_5227,2011,India,Logistics,Seed,4.792,40,7.2347,22.2996,9,No,No,0.8573,"Python, AI",4805
